date,open,high,low,close
2025-02-19,5576.09,5676.37,5510.92,5672.24023
2025-02-20,5610.81,5652.08,5466.24,5500.02002
2025-02-21,5684.94,5859.3,5605.26,5859.29981
2025-02-24,5864.55,5904.3,5740.13,5789.52002
2025-02-25,5540.42,5814.7,5537.54,5698.81982
2025-02-26,5763.62,6023.79,5760.25,5953.79004
2025-02-27,5963.87,6085.13,5764.73,5881.00977
2025-02-28,5862.98,5862.98,5511.45,5568.14014
2025-03-03,5631.89,5701.09,5460.6,5535.85986
2025-03-04,5400.15,5590.14,5358.76,5535.64014
2025-03-05,5618.34,5770.8,5565.54,5757.93994
2025-03-06,5919.53,6090.37,5919.53,6068.77002
2025-03-07,6003.72,6195.4,5952.52,6037.43994
2025-03-10,6016.34,6076.28,5819.12,5885.49023
2025-03-11,5728.87,5991.32,5715.54,5967.22998
2025-03-12,6032.27,6075.31,5756.07,5845.35986
2025-03-13,5867.63,5881.64,5644.68,5747.77002
2025-03-14,5826.21,5920.03,5714.6,5880.77979
2025-03-17,5920.63,5943.6,5822.02,5872.81006
2025-03-18,6038.3,6105.5,5980.77,6105.5
2025-03-19,6043.94,6096.9,5979.49,6041.18994
2025-03-20,6031.56,6031.56,5822.74,5836.27979
2025-03-21,5799.08,5854.78,5614.56,5639.56006
2025-03-24,5664.86,5762.83,5596.2,5736.83008
2025-03-25,5638.72,5671.59,5502.48,5517.52002
2025-03-26,5537.45,5606.98,5522.89,5573.04004
2025-03-27,5588.57,5706.34,5495.53,5589.12012
2025-03-28,5605.34,5649.15,5455.21,5506.47022
2025-03-31,5439.5,5470.53,5335.85,5394.72022
2025-04-01,5441.99,5517.76,5395.9,5407.37988
2025-04-02,5398.7,5506.56,5359.83,5426.43994
2025-04-03,5257.91,5371.54,5250.64,5313.25977
2025-04-07,4721.03,4840.03,4363.55,4401.50977
2025-04-08,4547.38,4664.7,4415.76,4568.37988
2025-04-09,4373.62,4753.49,4296.16,4689.18994
2025-04-10,4875.02,4998.49,4765.5,4813.74023
2025-04-11,4787.95,4987.08,4746.34,4900.43018
2025-04-14,5053.59,5077.88,4977.77,5015.12012
2025-04-15,5057.81,5057.81,4916.57,4981.6001
2025-04-16,4908.68,4919.26,4735.35,4796.27979
2025-04-17,4790.56,4910.57,4774.46,4887.37012
2025-04-22,4854.75,4919.74,4792.59,4899.20996
2025-04-23,5070.75,5079.37,4978.5,5049.3999
2025-04-24,5045.2,5064.65,4921.53,4975.89014
2025-04-25,5037.91,5082.97,4965.75,4982.95996
2025-04-28,5011.61,5016.25,4954.49,4988.93994
2025-04-29,5022.3,5089.21,4976.68,5019.72998
2025-04-30,5030.08,5091.46,4995.41,5087.41992
2025-05-02,5112.09,5264.91,5079.01,5244.06006
2025-05-06,5243.06,5269.04,5179.01,5239.5
2025-05-07,5382.09,5396.54,5198.63,5200.04004
2025-05-08,5185.7,5293.57,5175.0,5228.91016
2025-05-09,5225.6,5225.6,5117.57,5180.25
2025-05-12,5291.67,5500.89,5215.13,5447.3501
2025-05-13,5431.61,5431.61,5253.63,5269.66016
2025-05-14,5352.68,5396.46,5319.53,5381.77979
2025-05-15,5374.16,5398.95,5274.39,5297.83984
2025-05-16,5247.34,5299.16,5235.53,5281.33984
2025-05-19,5227.54,5282.03,5162.83,5255.06006
2025-05-20,5266.61,5337.21,5243.02,5315.56006
2025-05-21,5330.25,5373.36,5317.53,5342.41016
2025-05-22,5336.47,5344.69,5224.25,5251.75
2025-05-23,5255.49,5310.47,5217.21,5246.87012
2025-05-26,5229.96,5233.97,5138.85,5157.6499
2025-05-27,5130.9,5192.2,5102.18,5182.6001
2025-05-28,5209.46,5218.62,5145.35,5174.64014
2025-05-29,5177.62,5320.36,5161.15,5301.91992
2025-05-30,5234.93,5235.13,5145.07,5170.43018
2025-06-02,5101.67,5137.06,5009.66,5134.10986
2025-06-03,5162.05,5215.65,5154.64,5189.49023
2025-06-04,5171.78,5249.97,5170.12,5219.02002
2025-06-05,5269.58,5321.98,5251.68,5319.95996
2025-06-06,5327.04,5327.04,5245.45,5286.52002
2025-06-09,5337.75,5457.59,5335.82,5433.22998
2025-06-10,5455.63,5455.63,5335.16,5392.18994
2025-06-11,5403.96,5484.63,5399.42,5451.2002
2025-06-12,5389.56,5405.4,5319.98,5331.33008
2025-06-13,5280.57,5314.56,5192.45,5239.70996
2025-06-16,5207.61,5328.2,5185.65,5299.91016
2025-06-17,5314.09,5339.13,5258.11,5291.8501
2025-06-18,5261.42,5261.42,5194.49,5214.41016
2025-06-19,5187.07,5196.76,5071.54,5088.31982
2025-06-20,5103.67,5133.14,5089.6,5133.14014
2025-06-23,5077.86,5189.03,5053.74,5187.00977
2025-06-24,5236.95,5326.63,5236.95,5297.95996
2025-06-25,5345.49,5393.06,5323.5,5359.02002
2025-06-26,5331.29,5381.72,5306.8,5345.16016
2025-06-27,5363.68,5393.99,5323.86,5341.43018
2025-06-30,5351.99,5380.49,5297.63,5302.81982
2025-07-02,5359.67,5362.18,5256.22,5269.10986
2025-07-03,5277.1,5279.69,5192.12,5233.70996
2025-07-04,5194.33,5277.86,5129.52,5216.25977
2025-07-07,5192.47,5236.09,5157.28,5229.56006
2025-07-08,5244.31,5328.53,5235.95,5325.9502
2025-07-09,5300.65,5300.65,5217.75,5231.99023
2025-07-10,5218.31,5240.13,5190.39,5216.6001
2025-07-11,5202.21,5328.93,5202.21,5248.47998
2025-07-14,5240.48,5298.2,5226.63,5283.5
2025-07-15,5297.89,5435.94,5273.45,5431.29004
2025-07-16,5479.44,5531.27,5414.91,5418.3999
2025-07-17,5417.48,5471.47,5401.41,5448.8501
2025-07-18,5520.07,5550.49,5473.54,5538.83008
2025-07-21,5604.06,5604.06,5537.83,5585.5
2025-07-22,5589.82,5613.47,5552.32,5606.83008
2025-07-23,5675.95,5759.51,5624.91,5745.74023
2025-07-24,5730.8,5802.88,5729.35,5743.0
2025-07-25,5713.59,5713.59,5641.22,5677.8999
2025-07-28,5699.07,5705.04,5639.12,5664.02002
2025-07-29,5631.56,5649.42,5550.62,5644.37988
2025-07-30,5540.85,5591.71,5466.0,5490.75977
2025-07-31,5458.8,5519.44,5418.1,5453.14014
2025-08-01,5447.96,5489.83,5397.4,5397.3999
2025-08-04,5361.98,5489.99,5350.7,5481.25
2025-08-05,5489.47,5521.07,5471.26,5521.06982
2025-08-06,5503.81,5545.81,5478.02,5532.16992
2025-08-07,5546.84,5571.93,5484.33,5546.72998
2025-08-08,5500.85,5509.05,5449.73,5460.29981
2025-08-11,5470.92,5477.51,5420.02,5460.02002
2025-08-12,5427.81,5459.43,5397.85,5439.16016
2025-08-13,5490.46,5630.78,5487.42,5630.77979
2025-08-14,5669.47,5669.47,5557.74,5576.02979
2025-08-15,5509.09,5546.76,5495.26,5543.16992
2025-08-18,5565.54,5671.34,5565.54,5579.18018
2025-08-19,5592.3,5594.97,5524.1,5542.02979
2025-08-20,5500.58,5561.76,5468.33,5541.27002
2025-08-21,5539.65,5539.65,5469.66,5498.5
